template_id,segment_id,lifecycle_stage,theme,goal,tone,hook_type,feature_reference,progression_stage,en_title,en_body,hi_title,hi_body,channel,cta
TMPL_0011,SEG_00_PAI_MED,paid,Accomplishment,daily progress,Accomplishment,Accomplishment,core feature,awareness,See your progress,Use core feature to improve your results in daily progress. Start by exploring o,अपनी प्रगति देखें,core feature के साथ daily progress में बेहतर परिणाम पाएं। शुरुआत एक छोटे कदम से करें।,push,Continue
TMPL_0012,SEG_00_PAI_MED,paid,Accomplishment,daily progress,Accomplishment,Accomplishment,core feature,engagement,Keep improving,One more step with core feature can strengthen daily progress. Try one action an,आज और बेहतर करें,core feature का एक और उपयोग daily progress को मजबूत बना सकता है। एक बार आजमाकर अपनी प्रगति देखें।,push,Continue
TMPL_0013,SEG_00_PAI_MED,paid,Accomplishment,daily progress,Accomplishment,Accomplishment,core feature,habit,Reach your milestone,Build visible progress in daily progress through core feature. Repeat it today t,अपना लक्ष्य बढ़ाएं,core feature से daily progress में स्पष्ट प्रगति बनाएं। इसे आज दोहराकर निरंतरता बनाएं।,push,Continue
TMPL_0014,SEG_00_PAI_MED,paid,Accomplishment,daily progress,Accomplishment,Accomplishment,core feature,mastery,Make today count,Use core feature to improve your results in daily progress. Go deeper and improv,एक कदम और,core feature के साथ daily progress में बेहतर परिणाम पाएं। और बेहतर करने के लिए गहराई से करें।,push,Continue
TMPL_0015,SEG_00_PAI_MED,paid,Accomplishment,daily progress,Accomplishment,Accomplishment,core feature,retention,Grow your results,One more step with core feature can strengthen daily progress. Keep the momentum,अपना सुधार जारी रखें,core feature का एक और उपयोग daily progress को मजबूत बना सकता है। अपनी रफ्तार आज भी बनाए रखें।,push,Continue
TMPL_0016,SEG_00_TRI_HIG,trial,Loss Avoidance,daily progress,Encouragement,Loss Avoidance,core feature,awareness,Keep going,A small step with core feature can support daily progress. Start by exploring on,जारी रखें,core feature के साथ एक छोटा कदम daily progress में मदद कर सकता है। शुरुआत एक छोटे कदम से करें।,push,Continue
TMPL_0017,SEG_00_TRI_HIG,trial,Loss Avoidance,daily progress,Encouragement,Loss Avoidance,core feature,engagement,A small step today,Stay steady with core feature and continue daily progress. Try one action and se,आज एक छोटा कदम,core feature का नियमित उपयोग करके daily progress जारी रखें। एक बार आजमाकर अपनी प्रगति देखें।,push,Continue
TMPL_0018,SEG_00_TRI_HIG,trial,Loss Avoidance,daily progress,Encouragement,Loss Avoidance,core feature,habit,Stay on track,Keep your momentum going through core feature. Repeat it today to build consiste,रफ्तार बनाए रखें,core feature आपकी प्रगति की रफ्तार बनाए रख सकता है। इसे आज दोहराकर निरंतरता बनाएं।,push,Continue
TMPL_0019,SEG_00_TRI_HIG,trial,Loss Avoidance,daily progress,Encouragement,Loss Avoidance,core feature,mastery,You’re doing well,A small step with core feature can support daily progress. Go deeper and improve,आप अच्छा कर रहे हैं,core feature के साथ एक छोटा कदम daily progress में मदद कर सकता है। और बेहतर करने के लिए गहराई से करे,push,Continue
TMPL_0020,SEG_00_TRI_HIG,trial,Loss Avoidance,daily progress,Encouragement,Loss Avoidance,core feature,retention,Keep the flow,Stay steady with core feature and continue daily progress. Keep the momentum goi,आगे बढ़ते रहें,core feature का नियमित उपयोग करके daily progress जारी रखें। अपनी रफ्तार आज भी बनाए रखें।,push,Continue
TMPL_0021,SEG_00_TRI_MED,trial,Empowerment,daily progress,Empowerment,Empowerment,core feature,awareness,Take charge,Use core feature to build confidence in daily progress. Start by exploring one s,अपना अगला कदम,core feature के साथ daily progress में आत्मविश्वास बढ़ाएं। शुरुआत एक छोटे कदम से करें।,push,Continue
TMPL_0022,SEG_00_TRI_MED,trial,Empowerment,daily progress,Empowerment,Empowerment,core feature,engagement,Your next step,Take one strong step with core feature toward daily progress. Try one action and,आगे बढ़ें,core feature का उपयोग करके daily progress की ओर आगे बढ़ें। एक बार आजमाकर अपनी प्रगति देखें।,push,Continue
TMPL_0023,SEG_00_TRI_MED,trial,Empowerment,daily progress,Empowerment,Empowerment,core feature,habit,Move forward,Your progress in daily progress can grow with core feature. Repeat it today to b,आप कर सकते हैं,core feature आपकी daily progress यात्रा को मजबूत बना सकता है। इसे आज दोहराकर निरंतरता बनाएं।,push,Continue
TMPL_0024,SEG_00_TRI_MED,trial,Empowerment,daily progress,Empowerment,Empowerment,core feature,mastery,Build your skill,Use core feature to build confidence in daily progress. Go deeper and improve yo,अपनी ताकत बढ़ाएं,core feature के साथ daily progress में आत्मविश्वास बढ़ाएं। और बेहतर करने के लिए गहराई से करें।,push,Continue
TMPL_0025,SEG_00_TRI_MED,trial,Empowerment,daily progress,Empowerment,Empowerment,core feature,retention,You can do this,Take one strong step with core feature toward daily progress. Keep the momentum ,नई शुरुआत करें,core feature का उपयोग करके daily progress की ओर आगे बढ़ें। अपनी रफ्तार आज भी बनाए रखें।,push,Continue
TMPL_0026,SEG_01_CHU_CRI,churned,Loss Avoidance,daily progress,Encouragement,Loss Avoidance,core feature,awareness,Keep going,A small step with core feature can support daily progress. Start by exploring on,जारी रखें,core feature के साथ एक छोटा कदम daily progress में मदद कर सकता है। शुरुआत एक छोटे कदम से करें।,push,Continue
TMPL_0027,SEG_01_CHU_CRI,churned,Loss Avoidance,daily progress,Encouragement,Loss Avoidance,core feature,engagement,A small step today,Stay steady with core feature and continue daily progress. Try one action and se,आज एक छोटा कदम,core feature का नियमित उपयोग करके daily progress जारी रखें। एक बार आजमाकर अपनी प्रगति देखें।,push,Continue
TMPL_0028,SEG_01_CHU_CRI,churned,Loss Avoidance,daily progress,Encouragement,Loss Avoidance,core feature,habit,Stay on track,Keep your momentum going through core feature. Repeat it today to build consiste,रफ्तार बनाए रखें,core feature आपकी प्रगति की रफ्तार बनाए रख सकता है। इसे आज दोहराकर निरंतरता बनाएं।,push,Continue
TMPL_0029,SEG_01_CHU_CRI,churned,Loss Avoidance,daily progress,Encouragement,Loss Avoidance,core feature,mastery,You’re doing well,A small step with core feature can support daily progress. Go deeper and improve,आप अच्छा कर रहे हैं,core feature के साथ एक छोटा कदम daily progress में मदद कर सकता है। और बेहतर करने के लिए गहराई से करे,push,Continue
TMPL_0030,SEG_01_CHU_CRI,churned,Loss Avoidance,daily progress,Encouragement,Loss Avoidance,core feature,retention,Keep the flow,Stay steady with core feature and continue daily progress. Keep the momentum goi,आगे बढ़ते रहें,core feature का नियमित उपयोग करके daily progress जारी रखें। अपनी रफ्तार आज भी बनाए रखें।,push,Continue
TMPL_0031,SEG_01_CHU_HIG,churned,Loss Avoidance,daily progress,Encouragement,Loss Avoidance,core feature,awareness,Keep going,A small step with core feature can support daily progress. Start by exploring on,जारी रखें,core feature के साथ एक छोटा कदम daily progress में मदद कर सकता है। शुरुआत एक छोटे कदम से करें।,push,Continue
TMPL_0032,SEG_01_CHU_HIG,churned,Loss Avoidance,daily progress,Encouragement,Loss Avoidance,core feature,engagement,A small step today,Stay steady with core feature and continue daily progress. Try one action and se,आज एक छोटा कदम,core feature का नियमित उपयोग करके daily progress जारी रखें। एक बार आजमाकर अपनी प्रगति देखें।,push,Continue
TMPL_0033,SEG_01_CHU_HIG,churned,Loss Avoidance,daily progress,Encouragement,Loss Avoidance,core feature,habit,Stay on track,Keep your momentum going through core feature. Repeat it today to build consiste,रफ्तार बनाए रखें,core feature आपकी प्रगति की रफ्तार बनाए रख सकता है। इसे आज दोहराकर निरंतरता बनाएं।,push,Continue
TMPL_0034,SEG_01_CHU_HIG,churned,Loss Avoidance,daily progress,Encouragement,Loss Avoidance,core feature,mastery,You’re doing well,A small step with core feature can support daily progress. Go deeper and improve,आप अच्छा कर रहे हैं,core feature के साथ एक छोटा कदम daily progress में मदद कर सकता है। और बेहतर करने के लिए गहराई से करे,push,Continue
TMPL_0035,SEG_01_CHU_HIG,churned,Loss Avoidance,daily progress,Encouragement,Loss Avoidance,core feature,retention,Keep the flow,Stay steady with core feature and continue daily progress. Keep the momentum goi,आगे बढ़ते रहें,core feature का नियमित उपयोग करके daily progress जारी रखें। अपनी रफ्तार आज भी बनाए रखें।,push,Continue
TMPL_0036,SEG_01_INA_CRI,inactive,Loss Avoidance,daily progress,Encouragement,Loss Avoidance,core feature,awareness,Keep going,A small step with core feature can support daily progress. Start by exploring on,जारी रखें,core feature के साथ एक छोटा कदम daily progress में मदद कर सकता है। शुरुआत एक छोटे कदम से करें।,push,Continue
TMPL_0037,SEG_01_INA_CRI,inactive,Loss Avoidance,daily progress,Encouragement,Loss Avoidance,core feature,engagement,A small step today,Stay steady with core feature and continue daily progress. Try one action and se,आज एक छोटा कदम,core feature का नियमित उपयोग करके daily progress जारी रखें। एक बार आजमाकर अपनी प्रगति देखें।,push,Continue
TMPL_0038,SEG_01_INA_CRI,inactive,Loss Avoidance,daily progress,Encouragement,Loss Avoidance,core feature,habit,Stay on track,Keep your momentum going through core feature. Repeat it today to build consiste,रफ्तार बनाए रखें,core feature आपकी प्रगति की रफ्तार बनाए रख सकता है। इसे आज दोहराकर निरंतरता बनाएं।,push,Continue
TMPL_0039,SEG_01_INA_CRI,inactive,Loss Avoidance,daily progress,Encouragement,Loss Avoidance,core feature,mastery,You’re doing well,A small step with core feature can support daily progress. Go deeper and improve,आप अच्छा कर रहे हैं,core feature के साथ एक छोटा कदम daily progress में मदद कर सकता है। और बेहतर करने के लिए गहराई से करे,push,Continue
TMPL_0040,SEG_01_INA_CRI,inactive,Loss Avoidance,daily progress,Encouragement,Loss Avoidance,core feature,retention,Keep the flow,Stay steady with core feature and continue daily progress. Keep the momentum goi,आगे बढ़ते रहें,core feature का नियमित उपयोग करके daily progress जारी रखें। अपनी रफ्तार आज भी बनाए रखें।,push,Continue
TMPL_0041,SEG_01_TRI_CRI,trial,Loss Avoidance,daily progress,Encouragement,Loss Avoidance,core feature,awareness,Keep going,A small step with core feature can support daily progress. Start by exploring on,जारी रखें,core feature के साथ एक छोटा कदम daily progress में मदद कर सकता है। शुरुआत एक छोटे कदम से करें।,push,Continue
TMPL_0042,SEG_01_TRI_CRI,trial,Loss Avoidance,daily progress,Encouragement,Loss Avoidance,core feature,engagement,A small step today,Stay steady with core feature and continue daily progress. Try one action and se,आज एक छोटा कदम,core feature का नियमित उपयोग करके daily progress जारी रखें। एक बार आजमाकर अपनी प्रगति देखें।,push,Continue
TMPL_0043,SEG_01_TRI_CRI,trial,Loss Avoidance,daily progress,Encouragement,Loss Avoidance,core feature,habit,Stay on track,Keep your momentum going through core feature. Repeat it today to build consiste,रफ्तार बनाए रखें,core feature आपकी प्रगति की रफ्तार बनाए रख सकता है। इसे आज दोहराकर निरंतरता बनाएं।,push,Continue
TMPL_0044,SEG_01_TRI_CRI,trial,Loss Avoidance,daily progress,Encouragement,Loss Avoidance,core feature,mastery,You’re doing well,A small step with core feature can support daily progress. Go deeper and improve,आप अच्छा कर रहे हैं,core feature के साथ एक छोटा कदम daily progress में मदद कर सकता है। और बेहतर करने के लिए गहराई से करे,push,Continue
TMPL_0045,SEG_01_TRI_CRI,trial,Loss Avoidance,daily progress,Encouragement,Loss Avoidance,core feature,retention,Keep the flow,Stay steady with core feature and continue daily progress. Keep the momentum goi,आगे बढ़ते रहें,core feature का नियमित उपयोग करके daily progress जारी रखें। अपनी रफ्तार आज भी बनाए रखें।,push,Continue
TMPL_0046,SEG_01_TRI_HIG,trial,Loss Avoidance,daily progress,Encouragement,Loss Avoidance,core feature,awareness,Keep going,A small step with core feature can support daily progress. Start by exploring on,जारी रखें,core feature के साथ एक छोटा कदम daily progress में मदद कर सकता है। शुरुआत एक छोटे कदम से करें।,push,Continue
TMPL_0047,SEG_01_TRI_HIG,trial,Loss Avoidance,daily progress,Encouragement,Loss Avoidance,core feature,engagement,A small step today,Stay steady with core feature and continue daily progress. Try one action and se,आज एक छोटा कदम,core feature का नियमित उपयोग करके daily progress जारी रखें। एक बार आजमाकर अपनी प्रगति देखें।,push,Continue
TMPL_0048,SEG_01_TRI_HIG,trial,Loss Avoidance,daily progress,Encouragement,Loss Avoidance,core feature,habit,Stay on track,Keep your momentum going through core feature. Repeat it today to build consiste,रफ्तार बनाए रखें,core feature आपकी प्रगति की रफ्तार बनाए रख सकता है। इसे आज दोहराकर निरंतरता बनाएं।,push,Continue
TMPL_0049,SEG_01_TRI_HIG,trial,Loss Avoidance,daily progress,Encouragement,Loss Avoidance,core feature,mastery,You’re doing well,A small step with core feature can support daily progress. Go deeper and improve,आप अच्छा कर रहे हैं,core feature के साथ एक छोटा कदम daily progress में मदद कर सकता है। और बेहतर करने के लिए गहराई से करे,push,Continue
TMPL_0050,SEG_01_TRI_HIG,trial,Loss Avoidance,daily progress,Encouragement,Loss Avoidance,core feature,retention,Keep the flow,Stay steady with core feature and continue daily progress. Keep the momentum goi,आगे बढ़ते रहें,core feature का नियमित उपयोग करके daily progress जारी रखें। अपनी रफ्तार आज भी बनाए रखें।,push,Continue
