template_id,segment_id,lifecycle_stage,theme,goal,tone,hook_type,feature_reference,progression_stage,en_title,en_body,hi_title,hi_body,channel,cta,prob_GOOD,prob_NEUTRAL,prob_BAD,pred_ctr,pred_engagement_rate,quality_score,primary_window,secondary_window,recommended_window,backup_window,iteration1_action
TMPL_0012,SEG_00_PAI_MED,paid,Accomplishment,daily progress,Accomplishment,Accomplishment,core feature,engagement,Keep improving,One more step with core feature can strengthen daily progress. Try one action an,आज और बेहतर करें,core feature का एक और उपयोग daily progress को मजबूत बना सकता है। एक बार आजमाकर अपनी प्रगति देखें।,push,Continue,0.2732917585384909,0.42973464289095725,0.29697359857055194,39.81322355555554,40.97953060317458,1.884291724143155,late_afternoon,afternoon,late_afternoon,afternoon,KEEP
TMPL_0017,SEG_00_TRI_HIG,trial,Loss Avoidance,daily progress,Encouragement,Loss Avoidance,core feature,engagement,A small step today,Stay steady with core feature and continue daily progress. Try one action and se,आज एक छोटा कदम,core feature का नियमित उपयोग करके daily progress जारी रखें। एक बार आजमाकर अपनी प्रगति देखें।,push,Continue,0.11875405767822368,0.4755127492410901,0.40573319308068617,26.170806238095242,30.872033857142835,1.0698644313458185,late_afternoon,afternoon,late_afternoon,afternoon,KEEP
TMPL_0025,SEG_00_TRI_MED,trial,Empowerment,daily progress,Empowerment,Empowerment,core feature,retention,You can do this,Take one strong step with core feature toward daily progress. Keep the momentum ,नई शुरुआत करें,core feature का उपयोग करके daily progress की ओर आगे बढ़ें। अपनी रफ्तार आज भी बनाए रखें।,push,Continue,0.7547162074525557,0.16852155393231016,0.0767622386151342,39.187880095238086,45.98305122222222,2.8276390281560335,late_afternoon,evening,late_afternoon,evening,PROMOTE
TMPL_0023,SEG_00_TRI_MED,trial,Empowerment,daily progress,Empowerment,Empowerment,core feature,habit,Move forward,Your progress in daily progress can grow with core feature. Repeat it today to b,आप कर सकते हैं,core feature आपकी daily progress यात्रा को मजबूत बना सकता है। इसे आज दोहराकर निरंतरता बनाएं।,push,Continue,0.7511111610849467,0.1713738703869655,0.07751496852808773,37.90494228571428,46.21062273015876,2.8016470149046584,late_afternoon,evening,late_afternoon,evening,PROMOTE
TMPL_0022,SEG_00_TRI_MED,trial,Empowerment,daily progress,Empowerment,Empowerment,core feature,engagement,Your next step,Take one strong step with core feature toward daily progress. Try one action and,आगे बढ़ें,core feature का उपयोग करके daily progress की ओर आगे बढ़ें। एक बार आजमाकर अपनी प्रगति देखें।,push,Continue,0.6377635271699799,0.32631996307767397,0.035916509752346226,37.754258571428565,43.30948949206351,2.6979804218608328,late_afternoon,evening,late_afternoon,evening,PROMOTE
TMPL_0024,SEG_00_TRI_MED,trial,Empowerment,daily progress,Empowerment,Empowerment,core feature,mastery,Build your skill,Use core feature to build confidence in daily progress. Go deeper and improve yo,अपनी ताकत बढ़ाएं,core feature के साथ daily progress में आत्मविश्वास बढ़ाएं। और बेहतर करने के लिए गहराई से करें।,push,Continue,0.7450534160388365,0.12860607975772587,0.12634050420343768,36.42902609523811,42.44850790476192,2.6078252388929926,late_afternoon,evening,late_afternoon,evening,PROMOTE
TMPL_0021,SEG_00_TRI_MED,trial,Empowerment,daily progress,Empowerment,Empowerment,core feature,awareness,Take charge,Use core feature to build confidence in daily progress. Start by exploring one s,अपना अगला कदम,core feature के साथ daily progress में आत्मविश्वास बढ़ाएं। शुरुआत एक छोटे कदम से करें।,push,Continue,0.5445374970164643,0.3055417183176993,0.14992078466583647,38.12030857142856,42.35908126984129,2.3992599599099393,late_afternoon,evening,late_afternoon,evening,PROMOTE
TMPL_0027,SEG_01_CHU_CRI,churned,Loss Avoidance,daily progress,Encouragement,Loss Avoidance,core feature,engagement,A small step today,Stay steady with core feature and continue daily progress. Try one action and se,आज एक छोटा कदम,core feature का नियमित उपयोग करके daily progress जारी रखें। एक बार आजमाकर अपनी प्रगति देखें।,push,Continue,0.14746583149630074,0.7641020409078615,0.08843212759583785,11.326241587301595,22.259453095238097,1.1688451082341702,afternoon,early_morning,afternoon,early_morning,KEEP
TMPL_0028,SEG_01_CHU_CRI,churned,Loss Avoidance,daily progress,Encouragement,Loss Avoidance,core feature,habit,Stay on track,Keep your momentum going through core feature. Repeat it today to build consiste,रफ्तार बनाए रखें,core feature आपकी प्रगति की रफ्तार बनाए रख सकता है। इसे आज दोहराकर निरंतरता बनाएं।,push,Continue,0.22733226275351667,0.5218059759035698,0.25086176134291355,13.167005147186147,21.347548047619043,0.9911583323666675,afternoon,early_morning,afternoon,early_morning,KEEP
TMPL_0030,SEG_01_CHU_CRI,churned,Loss Avoidance,daily progress,Encouragement,Loss Avoidance,core feature,retention,Keep the flow,Stay steady with core feature and continue daily progress. Keep the momentum goi,आगे बढ़ते रहें,core feature का नियमित उपयोग करके daily progress जारी रखें। अपनी रफ्तार आज भी बनाए रखें।,push,Continue,0.23001412882182828,0.5211931043052465,0.24879276687292534,10.75482643290043,21.783049666666663,0.9578239471291972,afternoon,early_morning,afternoon,early_morning,KEEP
TMPL_0029,SEG_01_CHU_CRI,churned,Loss Avoidance,daily progress,Encouragement,Loss Avoidance,core feature,mastery,You’re doing well,A small step with core feature can support daily progress. Go deeper and improve,आप अच्छा कर रहे हैं,core feature के साथ एक छोटा कदम daily progress में मदद कर सकता है। और बेहतर करने के लिए गहराई से करे,push,Continue,0.21954024848320236,0.38455690155248967,0.3959028499643079,11.71797449639249,26.76155436507936,0.8160959807733159,afternoon,early_morning,afternoon,early_morning,KEEP
TMPL_0026,SEG_01_CHU_CRI,churned,Loss Avoidance,daily progress,Encouragement,Loss Avoidance,core feature,awareness,Keep going,A small step with core feature can support daily progress. Start by exploring on,जारी रखें,core feature के साथ एक छोटा कदम daily progress में मदद कर सकता है। शुरुआत एक छोटे कदम से करें।,push,Continue,0.10382703591092586,0.5926539773003421,0.303518986788732,9.164434924963919,17.41453042857144,0.6194240654407885,afternoon,early_morning,afternoon,early_morning,KEEP
TMPL_0032,SEG_01_CHU_HIG,churned,Loss Avoidance,daily progress,Encouragement,Loss Avoidance,core feature,engagement,A small step today,Stay steady with core feature and continue daily progress. Try one action and se,आज एक छोटा कदम,core feature का नियमित उपयोग करके daily progress जारी रखें। एक बार आजमाकर अपनी प्रगति देखें।,push,Continue,0.28978742004494534,0.48048971496111104,0.22972286499394357,14.519511238095255,33.23576476190474,1.3543640695552412,night,afternoon,night,afternoon,KEEP
TMPL_0035,SEG_01_CHU_HIG,churned,Loss Avoidance,daily progress,Encouragement,Loss Avoidance,core feature,retention,Keep the flow,Stay steady with core feature and continue daily progress. Keep the momentum goi,आगे बढ़ते रहें,core feature का नियमित उपयोग करके daily progress जारी रखें। अपनी रफ्तार आज भी बनाए रखें।,push,Continue,0.3170361017674307,0.23082892717237968,0.4521349710601897,13.670828047619054,34.512955999999996,1.0120823319174894,night,afternoon,night,afternoon,KEEP
TMPL_0033,SEG_01_CHU_HIG,churned,Loss Avoidance,daily progress,Encouragement,Loss Avoidance,core feature,habit,Stay on track,Keep your momentum going through core feature. Repeat it today to build consiste,रफ्तार बनाए रखें,core feature आपकी प्रगति की रफ्तार बनाए रख सकता है। इसे आज दोहराकर निरंतरता बनाएं।,push,Continue,0.31328146433054155,0.2316782856108984,0.45504025005856014,14.76135352380954,31.144114333333317,0.9578223963738465,night,afternoon,night,afternoon,KEEP
TMPL_0037,SEG_01_INA_CRI,inactive,Loss Avoidance,daily progress,Encouragement,Loss Avoidance,core feature,engagement,A small step today,Stay steady with core feature and continue daily progress. Try one action and se,आज एक छोटा कदम,core feature का नियमित उपयोग करके daily progress जारी रखें। एक बार आजमाकर अपनी प्रगति देखें।,push,Continue,0.05660354538777962,0.5788302079624876,0.36456624664973286,13.636306428571446,23.739022380952377,0.6843475022737103,night,mid_morning,night,mid_morning,KEEP
TMPL_0042,SEG_01_TRI_CRI,trial,Loss Avoidance,daily progress,Encouragement,Loss Avoidance,core feature,engagement,A small step today,Stay steady with core feature and continue daily progress. Try one action and se,आज एक छोटा कदम,core feature का नियमित उपयोग करके daily progress जारी रखें। एक बार आजमाकर अपनी प्रगति देखें।,push,Continue,0.1285487949774366,0.7740915664464555,0.0973596385761079,14.63987604761906,27.168319238095233,1.299201315112339,early_morning,mid_morning,early_morning,mid_morning,KEEP
TMPL_0043,SEG_01_TRI_CRI,trial,Loss Avoidance,daily progress,Encouragement,Loss Avoidance,core feature,habit,Stay on track,Keep your momentum going through core feature. Repeat it today to build consiste,रफ्तार बनाए रखें,core feature आपकी प्रगति की रफ्तार बनाए रख सकता है। इसे आज दोहराकर निरंतरता बनाएं।,push,Continue,0.1969427179291819,0.5301470284510635,0.2729102536197546,13.695674285714292,29.74890209523809,1.1018868143946468,early_morning,mid_morning,early_morning,mid_morning,KEEP
TMPL_0045,SEG_01_TRI_CRI,trial,Loss Avoidance,daily progress,Encouragement,Loss Avoidance,core feature,retention,Keep the flow,Stay steady with core feature and continue daily progress. Keep the momentum goi,आगे बढ़ते रहें,core feature का नियमित उपयोग करके daily progress जारी रखें। अपनी रफ्तार आज भी बनाए रखें।,push,Continue,0.19981767317045726,0.5277124536250305,0.2724698732045122,12.274303333333341,29.35803904761906,1.0692657363418345,early_morning,mid_morning,early_morning,mid_morning,KEEP
TMPL_0044,SEG_01_TRI_CRI,trial,Loss Avoidance,daily progress,Encouragement,Loss Avoidance,core feature,mastery,You’re doing well,A small step with core feature can support daily progress. Go deeper and improve,आप अच्छा कर रहे हैं,core feature के साथ एक छोटा कदम daily progress में मदद कर सकता है। और बेहतर करने के लिए गहराई से करे,push,Continue,0.1882617896159354,0.3822938916347054,0.42944431874935923,12.935440190476195,32.41838342857141,0.8652829201229768,early_morning,mid_morning,early_morning,mid_morning,KEEP
TMPL_0041,SEG_01_TRI_CRI,trial,Loss Avoidance,daily progress,Encouragement,Loss Avoidance,core feature,awareness,Keep going,A small step with core feature can support daily progress. Start by exploring on,जारी रखें,core feature के साथ एक छोटा कदम daily progress में मदद कर सकता है। शुरुआत एक छोटे कदम से करें।,push,Continue,0.08809978825522288,0.5878138828454226,0.32408632889935457,11.115233619047627,22.18402338095239,0.7031381691263204,early_morning,mid_morning,early_morning,mid_morning,KEEP
TMPL_0047,SEG_01_TRI_HIG,trial,Loss Avoidance,daily progress,Encouragement,Loss Avoidance,core feature,engagement,A small step today,Stay steady with core feature and continue daily progress. Try one action and se,आज एक छोटा कदम,core feature का नियमित उपयोग करके daily progress जारी रखें। एक बार आजमाकर अपनी प्रगति देखें।,push,Continue,0.05579915334018231,0.540193435585694,0.40400741107412363,18.453633619047626,27.33226585714284,0.7847045440379814,afternoon,late_afternoon,afternoon,late_afternoon,KEEP
